Author_1,Author_2,label,jaccard
fornaess,kutzschebauch,False,0.011764705882352941
fornaess,borell,False,0.0
ley,yu,False,0.2257809410834322
ley,praeger,False,0.03798392987582177
ley,rinaldo,False,0.03511338697878566
ley,aravena,False,0.07768361581920905
ley,hien,False,0.0
ley,roucairol,False,0.0
ley,snyder,False,0.04399701715137957
ley,barles,False,0.0611353711790393
horowitz,ciftci,False,0.01904761904761905
horowitz,qiu,False,0.08421052631578947
horowitz,lucha,False,0.0
horowitz,meister,False,0.09009009009009009
matsuoka,nishida,False,0.09352517985611511
matsuoka,ozeki,False,0.07317073170731707
matsuoka,kuzuoka,False,0.01834862385321101
matsuoka,uyematsu,False,0.01834862385321101
matsuoka,ramgoolam,False,0.015706806282722512
jeong,akhmedov,False,0.058823529411764705
jeong,ayanoglu,False,0.022292993630573247
jeong,baykur,False,0.01675977653631285
jeong,yano,False,0.04518664047151277
jeong,trout,False,0.0
jeong,rockmore,False,0.028735632183908046
jeong,chai,False,0.06153846153846154
jeong,teruya,False,0.0
jeong,rennie,False,0.07425742574257425
sin,elia,False,0.16612021857923498
sin,sawan,False,0.025059665871121718
sin,chauhan,False,0.025059665871121718
sin,strawderman,False,0.04392470051340559
okoudjou,aldroubi,False,0.06091370558375635
bethuel,lassaut,False,0.043010752688172046
bethuel,larsen,False,0.04032258064516129
bethuel,sofianos,False,0.043010752688172046
bethuel,wallet,False,0.02824858757062147
bethuel,bidégaray-fesquet,False,0.08333333333333333
wadayama,nakamura,False,0.14583333333333334
wadayama,yagita,False,0.0
wadayama,funahashi,False,0.0
wadayama,usami,False,0.0
jarvis,gilbert,False,0.029197080291970802
jarvis,cox,False,0.08080808080808081
jarvis,poggiaspalla,False,0.0
jarvis,lowenstein,False,0.0
jarvis,vivaldi,False,0.0
schuetz,grant,False,0.07100591715976332
schuetz,farb,False,0.284789644012945
felmer,loss,False,0.04946236559139785
felmer,tarantello,False,0.03
manna,medina,False,0.08040201005025126
tian,kodama,False,0.09433962264150944
tian,avestimehr,False,0.06481481481481481
tian,chen,False,0.1321330485199878
rubenthaler,ebrahimi,False,0.020710059171597635
rubenthaler,manchon,False,0.02066115702479339
rubenthaler,ebrahimi-fard,False,0.0
mattingly,ash,False,0.0
mattingly,jones,False,0.07986688851913477
mattingly,rider,False,0.06356968215158924
mattingly,saffari,False,0.0
mattingly,saff,False,0.06854838709677419
mattingly,vamanamurthy,False,0.0502283105022831
mattingly,zafrullah,False,0.03902439024390244
zhou,cai,False,0.24244505494505494
zhou,monneau,False,0.019114688128772636
zhou,cardaliaguet,False,0.02584493041749503
zhou,wu,False,0.21715328467153286
zhou,poor,False,0.19402985074626866
zhou,petropulu,False,0.04976958525345622
zhou,snyder,False,0.03627450980392157
zhou,neunhoeffer,False,0.0320962888665998
zhou,fienberg,False,0.0
zhou,hersh,False,0.10970873786407767
zhou,chen,False,0.1963136337039204
kassabov,milousheva,False,0.03937007874015748
kassabov,guralnick,True,0.3081761006289308
kassabov,lubotzky,True,0.4074074074074074
kassabov,ammar,False,0.05194805194805195
kassabov,masmoudi,False,0.05813953488372093
kassabov,poncin,False,0.05829596412556054
peternell,naie,False,0.008695652173913044
peternell,kovac,False,0.09734513274336283
peternell,kovacs,False,0.11173184357541899
peternell,demailly,False,0.0
peternell,oguiso,False,0.08176100628930817
flicker,liew,False,0.025210084033613446
flicker,han,False,0.0248015873015873
roux,crovisier,False,0.25149700598802394
lovett,ghosh,False,0.08185053380782918
hastie,höfling,False,0.0
simon,fonseca,False,0.027375201288244767
simon,leoni,False,0.046012269938650305
simon,zinchenko,False,0.07165109034267912
goff,broche,False,0.04838709677419355
goff,siciliano,False,0.06896551724137931
goff,ruiz,False,0.07446808510638298
goff,roche,False,0.05555555555555555
durrett,smeets,False,0.008264462809917356
durrett,huebschmann,False,0.006944444444444444
durrett,souto,False,0.0
durrett,kraaikamp,False,0.02304147465437788
durrett,pelayo,False,0.0
durrett,heinrich,False,0.01935483870967742
promislow,bayraktar,True,0.041666666666666664
xu,essen,False,0.037037037037037035
xu,bernicot,False,0.041969330104923326
xu,li,False,0.1042868920032976
xu,saligrama,False,0.05823754789272031
xu,ao,False,0.2222222222222222
xu,grama,False,0.08149779735682819
xu,laurent-gengoux,False,0.0
xu,ludeña,False,0.027375201288244767
xu,yuster,False,0.029552715654952075
xu,kao,False,0.08229813664596274
britton,esker,False,0.06293706293706294
britton,jagers,False,0.056910569105691054
